"","Temperature","Humidity","Wind.Speed..km.h.","Visibility","Pressure","so2","no2","Rainfall","PM25","PM10"
"258",10.82222222,0.73,9.2414,11.0285,1009.63,31,111.3,86.3,88,5.452
"259",10.13888889,0.77,23.0713,11.2056,1009.39,40.6,87.2,86,26,3.524
"260",9.65,0.83,3.7674,5.2164,1011.07,22.7,41.6,85.6,60,3.976
"262",10,0.81,10.3362,9.982,1011.35,9.3,16.2,84.8,34,8.634
"263",7.8,0.89,5.796,14.9086,1011.67,11,20.5,84.3,22,5.614
"264",7.677777778,0.9,9.8854,14.5866,1011.76,9.6,14,85.7,73,9.469
"265",7.288888889,0.93,6.4883,15.8263,1015.68,8.5,15.6,86.7,67,6.239
"266",9.888888889,0.87,14.0231,15.8263,1015.41,12.8,18.4,85.6,34,4.332
"268",14.93333333,0.68,10.7709,15.8263,1015.18,19,24.2,85.2,66,4.635
"269",17.10555556,0.59,6.5366,15.8263,1014.7,7.9,10.9,86.8,44,3.883
"271",18.75,0.48,10.7065,15.8263,1014.31,14.3,20.4,87.3,23,3.602
"273",18.85555556,0.4,8.0017,11.0285,1014.82,14.4,11,86.9,47,13.446
"275",18.83888889,0.4,9.3058,9.982,1015,7.9,11.4,87,34,17.856
"276",18.83333333,0.42,7.1645,10.3523,1014.9,7.1,8.6,86.6,17,4.968
"278",15,0.51,7.1323,11.27,1014.51,11.5,15.7,84.3,40,21.752
"279",12.48888889,0.6,3.6225,11.4471,1014.32,22.1,18.2,84,23,11.721
"280",8.938888889,0.78,1.7549,11.27,1013.93,8.2,13.3,83.7,29,9.907
"281",8.822222222,0.81,8.6779,11.27,1013.45,16.9,16.1,86.8,50,10.901
"282",8.35,0.81,2.8336,11.3988,1013.43,10.5,20.1,84.8,16,10.89
"286",4.544444444,0.92,3.1073,9.9015,1014.14,18.1,39,78,44,20.115
"287",4.472222222,0.92,6.44,15.6009,1014.34,27,35.4,78.7,27,15.795
"288",6.6,0.92,4.6046,14.7154,1014.6,13.8,21.4,80.2,31,6.434
"289",5.955555556,0.93,3.0268,15.8263,1011.68,13.7,37.6,75.9,38,4.694
"291",11.75555556,0.7,2.8497,3.6386,1015.64,10.8,31.8,78.2,16,12.648
"292",15.81111111,0.57,5.7155,0.6118,1012.26,6.3,26.6,82.2,13,17.909
"294",18.83888889,0.39,5.6189,1.1109,1012.62,41,35.4,78.4,16,23.938
"295",18.83888889,0.37,2.254,0.5152,1012.85,11.4,62.3,74.4,11,24.835
"297",21.03333333,0.34,2.7531,0.6923,1013.9,6,32.5,68.6,31,16.706
"298",22.01111111,0.31,2.254,2.2057,1014.31,10.2,54.3,72.3,11,27.954
"299",21.06111111,0.31,8.0983,4.2021,1014.43,6.6,20.6,72.6,31,5.923
"300",21.05555556,0.3,2.2862,6.3112,1014.73,14.3,25.4,73.9,79,2.967
"301",19.97222222,0.33,3.2844,6.3434,1014.92,15.1,23.5,71.5,28,5.822
"303",13.06111111,0.55,10.5616,6.8908,1014.92,10.9,22.8,74.1,26,6.39
"304",11.16111111,0.67,6.6654,7.2772,1014.76,31.8,56.6,69.7,26,4.825
"306",10.85,0.7,7.2772,6.3112,1014.83,13.2,13.2,69.2,45,6.536
"307",11.80555556,0.71,11.4793,4.7495,1015.11,10.4,35.9,69.9,14,9.963
"309",11.44444444,0.74,2.3506,5.8282,1015.5,7.9,26.3,69.5,48,6.279
"312",11,0.79,2.7692,3.8318,1016.38,32,66.8,71.3,9,4.827
"313",11.41666667,0.76,3.1556,4.508,1016.43,15.2,60.1,72.4,29,3.278
"314",12.36666667,0.73,5.9892,3.1234,1016.56,15.7,34.1,70.9,23,2.579
"315",13.06111111,0.76,5.9731,1.8032,1017.23,14.1,9.9,69.2,21,5.946
"316",14.07777778,0.75,6.279,3.8801,1016.17,17.6,27.8,70.1,135,3.003
"317",16.21111111,0.66,6.44,3.864,1016.25,9.5,16.2,68.5,54,5.481
"318",17.85,0.63,6.4239,3.2522,1016.13,13.2,15,68.6,20,12.442
"319",19.83888889,0.49,4.83,0.644,1016.17,8.5,8.2,65.6,141,11.477
"321",22.57222222,0.4,7.6636,2.3506,1016.94,19.6,43,68,29,4.542
"323",22.82222222,0.37,7.9212,4.4919,1017.45,10.8,25.6,66.2,6,14.814
"324",22.72777778,0.37,10.3845,6.2629,1017.77,13.2,47.5,64.9,53,9.254
"325",22.1,0.43,8.1466,6.1105,1017.73,24.9,55.5,64.9,21,3.584
"326",19.88333333,0.45,7.1645,11.27,1017.53,12.5,15,65.9,26,5.64
"327",17.18888889,0.51,13.3469,11.0285,1017.31,13.8,13.5,63.1,202,4.788
"328",14.92777778,0.6,13.6206,11.27,1016.82,9.8,9.7,64.1,25,6
"329",13.67777778,0.64,8.2754,11.27,1016.6,14.9,15.4,61.1,19,7.297
